name,student number,gender,age,phone number
周海燕,2002022540,男,21,18446613436
程鑫,2002084893,女,18,18558373160
张凯,2002023423,男,18,13875748964
梁帅,2002057196,男,22,17329044079
李倩,2002043577,女,21,15221257775
张刚,2002017449,男,21,14586996477
刘丹丹,2002040982,男,21,14540301004
詹秀荣,2002060756,女,22,13033094733
吕凤兰,2002018852,女,19,14781562414
夏利,2002018384,男,20,17385458454
杨秀兰,2002067526,女,22,15975203719
杭红梅,2002097038,男,19,15260812862
陈晨,2002092034,男,20,17358954051
张晨,2002061362,女,19,13597371769
王博,2002022268,女,19,17167682816
张洋,2002069901,女,20,14550758045
王欢,2002017370,女,18,18379245712
翁宁,2002056362,男,22,14712032268
王婷,2002096075,女,21,13195200629
曾丽华,2002085780,女,21,14770614946
严桂香,2002016950,男,21,18370891250
吴浩,2002040052,男,19,13027601787
萧岩,2002080182,女,21,14542583072
王华,2002081540,男,21,18071419781
刘想,2002020517,男,21,13672477946
关杨,2002021805,女,19,13421418550
张桂荣,2002068395,女,18,13714389420
唐亮,2002062773,女,22,13633538583
李斌,2002093396,女,18,15524450161
曾婷婷,2002020437,女,22,15244100506
赵平,2002092308,女,19,15121375008
邢建平,2002026893,男,22,17219631674
吴东,2002063666,男,18,13311964489
田柳,2002061406,男,19,17772163491
胡琴,2002030764,男,21,13220479561
唐荣,2002020220,男,20,13033274881
张波,2002073261,男,21,18881193357
杨欣,2002093372,女,18,14564329413
王峰,2002070215,女,21,13451268671
孟丽华,2002023035,男,21,13958697688
李玉梅,2002022651,女,19,17125995638
黄颖,2002064303,男,22,17382188984
胥春梅,2002089234,男,18,13798925754
李秀荣,2002090581,女,19,18925984082
梁丽,2002029404,女,19,13782813217
支玉兰,2002093083,男,18,17178955806
王燕,2002077391,女,22,13353046001
徐建华,2002022105,男,22,13523659347
邱静,2002085451,男,21,15010222519
杨凯,2002096283,男,20,15534565983
黄刚,2002084410,男,22,13163462830
尚秀芳,2002074937,男,18,14989548609
刘红,2002078373,男,20,18252830105
王晨,2002050515,男,20,18030087208
董淑英,2002065412,女,21,17883595913
陈艳,2002011981,女,18,14951868673
赵丽,2002048046,男,22,14536388331
何旭,2002041912,女,22,13127181244
祁利,2002063400,男,18,14518580904
林阳,2002086464,男,20,14930719843
